index,need,cpu,graphicard,hardisk,ram,screen
618,I want to buy a laptop with a great screen and amazing colour reproduction. It should have a nice keyboard and a responsive trackpad. ,1,0,1,1,2
619,I love laptop with good keyboard light. ,1,0,1,1,2
620,I need a lightweight laptop that will not get hot. ,1,3,2,3,3
621,I am looking for a lightweight and fast laptop for my daughter. ,1,3,2,3,3
622,I want a nice looking laptop. ,1,3,2,3,3
623,I want to buy a laptop with long battery life and a clear screen with vibrant colour. ,1,3,2,3,3
624,I decide to buy a light weight laptop that is easy to carry around. ,1,3,2,3,3
625,I want a light weight laptop. ,1,3,2,3,3
626,I am searching for a laptop that easy to carry around. ,1,3,2,3,3
627,I like that MS Office is included with the laptop.,1,3,2,3,3
628,I want to buy a laptop with useful programs and a amazing OLED screen. ,1,0,1,1,3
629,I like the laptop that have pop colour screen and good sound quality. ,1,0,1,1,3
630,I love the laptop that have awesome screen. ,1,0,1,1,3
631,I am looking for a laptop that runs well in games. It should have great OLED colours and long-lasting battery life. ,1,0,1,1,3
632,"I wanted a nice, light laptop with good speed, screen, contrast and brightness and that wouldn't overheat.",3,3,1,2,1
633,I am looking for a easy to set up laptop that has incredible picture and great battery life. ,2,3,3,3,2
634,I want to buy a laptop with a big screen and long battery. ,2,3,3,3,2
635,I like a good looking laptop that has a excellent and spacious screen. ,2,3,3,3,2
636,I need a laptop that runs perfectly. ,2,3,3,3,2
637,I want a good quality laptop. ,2,3,3,3,2
638,I want to buy a light and well-equipped laptop that is durable with an excellent battery life and bluetooth connectivity. ,3,3,5,4,6
639,I need a laptop with good battery life and a responsive keyboard. ,3,3,5,4,6
640,"I like a laptop that has simple, sleek, appealing design and could power up very quickly. ",3,3,5,4,6
641,I am looking for a laptop with a good screen quality and good battery life. ,3,3,5,4,6
642,I want a little laptop that has plenty of battery life. ,3,3,5,4,6
643,I want a small and light laptop which is portable and has good battery life and keyboard. ,3,3,5,4,6
644,"I need a laptop that works fast, easy to set up and has perfect shape. ",3,4,3,3,3
645,I love the laptop which has all the systems set up and working well.,3,4,3,3,3
646,I like laptops that are in good condition and operate perfectly.,3,4,3,3,3
647,I decide to buy a laptop that runs great. ,3,4,3,3,3
648,I need a laptop that is easy to set up. ,3,4,3,3,3
649,I will buy a fast and reliable laptop. ,3,4,3,3,3
650,I want a laptop that works well. ,3,4,3,3,3
651,I am searching for a laptop that has excellent quality and works great. ,3,4,3,3,3
652,I prefer a laptop that works well with a fingerprint scanner and has good battery life.,3,4,3,3,3
653,"I need a laptop with plenty of space and good Bluetooth capability. It should have a good webcam, a good sized keyboard and a good touch screen.",3,4,3,3,3
654,I want to buy a clean laptop with a good shape. ,3,4,3,3,3
655,"I wanted a lightweight laptop with fast cold boot, easy to read backlit keys and awesome battery life. ",3,3,2,3,3
656,I need a laptop that easy to set up. ,3,3,2,3,3
657,I am looking for a laptop with finger print reader logon feature and good display quality and brightness. ,3,3,2,3,3
658,I love small size laptop that is light and have good touch screen. ,3,3,2,3,3
659,"I want to buy a sturdy and lightweight laptop that has great battery life, beautiful backlit keybaord, decent camera and runs fast. ",3,3,2,3,3
660,"I decided to get a fast laptop that had a sturdy screen, good brightness and was easy to set up and use.",3,3,2,3,3
661,I am searching for a light laptop with nice and handy outlook and good performance. ,3,3,2,3,3
662,I need a lightweight laptop with good graphics. ,3,3,2,3,3
663,I want a light laptop with a good display. ,3,3,2,3,3
664,"I am looking for a beautiful and light laptop that has a nice look and feel, runs fast, is high functioning and has a gorgeous keyboard surface. ",3,3,2,3,3
665,I want a light and fast laptop that is easy to carry around and runs smooth. ,3,3,2,3,3
666,I will buy a beautiful and light laptop with fantastic performance. ,3,3,2,3,3
667,I want a magnificent laptop with a great screen and runs fast. ,3,3,2,3,3
668,I decide to buy a super cool laptop that is light and high powered. ,3,3,2,3,3
669,I am searching for a light laptop that runs fast and has a touch screen. ,3,3,2,3,3
670,I prefer a lightweight laptop with just the right weight for the keyboard and a clear display.,3,3,2,3,3
671,"I need a ultraportable laptop that is slim, lightweight and good looking. It should have a comfortable backlit keyboard, a clear screen, a responsive trackpad, a capable processor and graphics. I also want it to have excellent WIFI speeds and be able to cool down quickly.",3,3,2,3,3
672,"I like a lightweight and efficient laptop with a responsive backlit keyboard, hefty battery life, multiple USB ports and plenty of space. ",3,3,2,3,3
673,"I am looking for a fast laptop with a lot of power and incredible battery life. It should have good graphics, bright and sharp screen, superb build quality, and fast drive and ram. I also want to have a precise keyboard with great scissor keys. ",3,3,2,3,3
674,"I need a quiet laptop which has a perfect size and a sharp screen with good resolution and viewing angles. It should have a solid case, backlit keyboard, Thunderbolt 4 port and plenty of battery life. ",3,3,2,3,3
675,I want a lightweight laptop with a good lid design. ,3,3,2,3,3
676,I decide to get a thin and light laptop that can be charged through the Thunderbolt USB-C port. It should have a good keyboard and a crisp and bright screen. ,3,3,2,3,3
677,"I am looking for a light and fast laptop that have solid hinges and metal made body. It should have quick wifi connection, a good lit keyboard, a finger scanner and a good looking screen with bright colours. ",3,3,2,3,3
678,"I would like to buy a lightweight and smooth running laptop with terrific build quality and graphics. It should have sturdy magnesium chassis, snappy storage, bright display and wide colour gamut and long battery life. ",3,3,2,3,3
679,I want a powerful and capable laptop that is lightweight and has long battery life. ,3,3,2,3,3
680,"I want a quiet, slim and lightweight laptop that set up quick, has impressive battery, nice fingerprint lock and a good backlit keyboard. ",3,3,2,3,3
681,I am looking for a light and portable laptop that runs quickly and has good resolution and great battery life. ,3,3,2,3,3
682,I am looking for a lightweight laptop that runs smooth and has a nice keyboard. ,3,3,2,3,3
683,"I would like to buy a lightweight and portable laptop that runs fast and responsive. It should have a nice housing, a responsive touchpad and enough ports. ",3,3,2,3,3
684,"I want a laptop that is thin, light, modern laptop with a good keyboard and a sharp screen. ",3,3,2,3,3
685,I need a light laptop that has a fingerprint reader and plenty of ports. ,3,3,2,3,3
686,"I want a lightweight laptop with phenomenal speed. It should have a fast fingerprint reader, WiFi 6, Thunderbolt 4, long battery life, and large SSD. ",3,3,2,3,3
687,"I need a thin and light laptop with good performance and decent sound. It should run speedy, charges quickly and have a good display. ",3,3,2,3,3
688,I love thin and light laptop with a bright and crisp display and a nice keyboard. It should also have a responsive processor and great battery. ,3,3,2,3,3
689,"I am searching for a medium screen size, light weight and mid-high fuctional laptop. ",3,3,2,3,3
690,I want a light and fast laptop that is easy to use and in comfortable size. ,3,3,2,3,3
691,"I am looking for a small, lightweght, blazing fast and runs very cool laptop with a fantastic keyboard.",3,3,2,3,3
692,I love light and powerful laptop. ,3,3,2,3,3
693,I like to buy powerful laptop. ,3,3,2,3,3
694,"I am searching for a light laptop that runs snappy. It should have incredible battery life, a fingerprint sensor and pretty snazzy colour scheme. ",3,3,2,3,3
695,I want a laptop with a easy-to-access memory.,2,1,2,1,2
696,I need a lightweight laptop with a good display and a good graphics card. ,2,1,2,1,2
697,"I am looking for a lightweight and good size laptop with helpful tech support, a good keyboard and the ability to control things. ",2,1,2,1,2
698,"I want a fast, light and fancy lapotp with long lasting battery and additional connectivity. ",2,1,2,1,2
699,I am searching for a powerful and portable laptop. ,2,1,2,1,2
700,I am looking for a nice looking laptop with a decent keyboard and touchpad. ,2,1,2,1,2
701,I like laptops that are a convenient size and weight.,2,1,2,1,2
702,I love fast and stable laptops. ,2,1,2,1,2
703,I want to buy a portable laptop with powerful graphics and many connection options. ,2,1,2,1,2
704,I need a light and well built laptop with good functions and fingerprint scanner placement and multiple ports. ,2,1,2,1,2
705,"I want a light and stylish laptop with good battery life and screen, which the screen should have good colour representation and perfect viewing angles. It should also run in silence.  ",2,1,2,1,2
706,"I want a good designed laptop with phenomenal build quality and good travel distance. It should have a solid keyboard, good size and quality mousepad and touchpad, a high quality screen and microphone. ",1,0,2,3,1
707,I need a laptop with awesome screen resolution. ,1,0,2,3,1
708,I want to buy a laptop with simple and easy set up and start up. It should have sturdy and robust build quality. ,1,0,2,3,1
709,I want a fast laptop. ,1,0,2,3,1
710,I need a well built laptop.,1,0,2,3,1
711,I want a durable laptop with good screen quality and speed. ,1,0,2,3,1
712,I am looking for a fast laptop with a great screem. ,1,0,2,3,1
713,I need a laptop with a nice screen. ,1,0,2,3,1
714,I like a fast and easy to upgrade laptop with a good backlit keyboard and good functions. ,1,0,2,3,1
715,I like the laptop with bright display and beautiful backlit keyboard.,4,1,2,1,2
716,"I am looking for a solid laptop with a reactive and customizable touchpad, a smooth keyboard with good layout, and a responsive pen. ",4,1,2,1,2
717,I need a beautiful and powerful laptop that runs smooth. ,4,1,2,1,2
718,I like the slick and beautiful design of the laptop. ,4,1,2,1,2
719,I love beautiful laptop with good features. ,4,1,2,1,2
720,"I want a beautiful, powerful and portable laptop for my son. ",4,1,2,1,2
721,I need a laptop with great screen resolution. ,4,1,2,1,2
722,I want to buy a laptop with a sleek design and sharp images. ,4,1,2,1,2
723,I prefer a laptop with good screen quality. ,4,1,2,1,2
724,"I need a laptop with good battery, a crisp display and superb build quality. ",4,1,2,1,2
725,I am searching for a sleek looking laptop. ,4,1,2,1,2
726,I want a light and durable laptop that work at high speed and have plenty of storage.,3,2,4,3,2
727,"I am looking for a laptop with great build quality, screen and speaker. ",3,2,4,3,2
728,I want a laptop with a good keyboard.,3,2,4,3,2
729,"I need a laptop with fast boot up and login. It should have good wifi connection, graphics, touchscreen and multiple type of USB. ",3,2,4,3,2
730,"I am searching for a fast, light, solid laptop with sharp pictures, quick facial recognition and a number pad. ",1,3,2,1,2
731,I want a light and fast laptop. ,1,3,2,1,2
732,"I need a laptop with good weight, performance and construction. ",1,3,2,1,2
733,"I will buy a light, fast and practical laptop with a tough shell. ",1,3,2,1,2
734,I want a powerful and lightweight laptop. ,1,3,2,1,2
735,"I want a lightweight laptop with a good tactile keyboard, good heat distribution and a quiet fan.",1,3,2,1,2
736,"I want a light and powerful laptop which has a good screen, solid case, good amount of storage and great cooling and design. ",1,0,1,0,1
737,I like fast laptop.,1,0,1,0,1
738,I love big screen laptop with good performance. ,1,0,1,0,1
739,I need a laptop with good cooling and consistently frame rates. ,1,0,1,0,1
740,I want to buy a stylish laptop with easy startup and setup. ,1,0,1,0,1
741,I want a laptop that runs with no performance drop offs. ,1,0,1,0,1
742,I am looking for a gaming laptop that runs great. ,1,0,1,0,1
743,I want a fast laptop. ,3,3,1,1,1
744,I need a fast and solid laptop with a big screen and keyboard that runs cool.,3,3,1,1,1
745,I like a well built laptop. ,3,3,1,1,1
746,I will buy a fast laptop with a large screen. ,3,3,1,1,1
747,I want a lightweight laptop. ,3,3,1,1,1
748,"I am looking for a fast and responsive laptop with ample drive space, memory and ports. ",1,0,2,1,2
749,I want a smooth laptop with a good monitor. ,1,0,2,1,2
750,"I need a fast, little and beautiful laptop with amazing heat management features and a full keyboard.",1,0,2,1,2
751,"I need a laptop that runs great, has a wonderful display and a nice keyboard layout. ",1,0,2,1,2
752,"I want to buy a fast, quiet and powerful laptop with a nice screen and a good backlit keyboard and number pad. ",1,0,2,1,2
753,I need a fast and clear laptop with enough ports. ,1,0,2,1,2
754,"I want a laptop with a good size screen, upgradeable ram and good CPU and GPU performance. ",1,0,2,1,2
755,"I want a laptop with a nice keyboard, amazing sound quality and enough USB ports. ",1,0,2,1,2
756,"I like a laptop that has a clear display, crisp sound and a good keyboard. ",1,0,2,1,2
757,I want a beautiful designed laptop with a separate nummeric keypad and good Dell update app. It should be simple to turn the keyboard lights on and off too. ,1,0,2,1,2
758,I am searching for a solid laptop that runs great and quiet with amazing picture quality. ,1,0,2,1,2
759,I like laptop that works nice. ,1,0,2,1,2
760,I want a fast and quiet laptop with a ncie bright screen and a good backlit keyboard with a numberpad. ,1,0,2,1,2
761,"I need a fast laptop with enough memory, enough SSD space, and thin power supply. It should have a big and bright glorious screen and a nice full-sized keyboard. ",1,0,2,1,2
762,I want a fast and powerful laptop. ,1,0,2,1,2
763,I need a laptop which a great speed and weight and very detailed graphics. ,1,0,2,1,2
764,"I like small and lightweight laptop that have plenty of compute power, includes a nice built in second screen and great audio quality. ",1,1,2,1,3
765,I want a laptop with a nice OLED screen and a robust set of I/O ports. ,1,1,2,1,3
766,I need a fast and smooth laptop with a beautiful screen and lots of ports. ,1,1,2,1,3
767,I love laptop with sharp quality lcd. It would be nice to have a smooth keyboard and touchscreen. ,1,1,2,1,3
768,I want a light laptop with a beautiful touch screen. ,1,1,2,1,3
769,I want to buy a fast and light laptop with great battery life. ,1,1,2,1,3
770,"I like to buy light, fast and small laptop. ",1,1,2,1,3
771,"I am looking for a laptop with a good sized screen, good build quality and weight. ",1,1,2,1,3
772,I prefer a laptop with a useful screenpad. ,1,1,2,1,3
773,I need a laptop with a beautiful screen. ,1,1,2,1,3
774,I want to buy a laptop with good sound quality. ,1,1,2,1,3
775,I like a fast and light laptop with long lasting battery. ,1,1,2,1,3
776,I want a laptop with a amazing screenpad. ,1,1,2,1,3
777,I want to buy a light and super thin laptop that have a good touchpad and a full HDMI. ,1,1,2,1,3
778,"I am searching for a handy and well build laptop that is fast and reliable, has a good and bright screen and a pleasant keyboard. ",1,1,2,1,3
779,I wanted a good size and a slim laptop with photos that could be reproduced on the touchpad.,1,1,2,1,3
780,I decide to buy a portable laptop with good performance and have built in noise cancellation for the microphone. ,1,1,2,1,3
781,I like the laptop that have great screen quality and a useful touchpad and screen. ,1,1,2,1,3
782,I prefer a neat and light laptop that have high performance and enough battery. ,1,1,2,1,3
783,I need a light and fast laptop that is easy to set up and have a beautiful design. ,1,1,2,1,3
784,I like laptop that runs smooth and fast. ,1,1,2,1,3
785,I want to get a laptop with pleasant keyboard and screen. ,1,1,2,1,3
786,I love laptop that have great construction and appearance. ,1,1,2,1,3
787,I like a lightweight and quiet laptop with no heat. It should have great graphic and the screen should be clearly visible from any angle. ,4,1,2,1,2
788,I want a fast and lightweight laptop with a smooth keyboard. ,4,1,2,1,2
789,I am looking for a fast and lightweight laptop. ,4,1,2,1,2
790,I am looking for a fast and lightweight laptop. ,4,1,2,1,2
791,I need a fast laptop. ,4,1,2,1,2
792,I like the laptop that have amazing antivirus software and a good backlit keyboard. ,4,1,2,1,2
793,I want a laptop with decent resolution and have a DVD burner. ,2,3,2,1,2
794,I need a fast and responsive laptop. ,2,3,2,1,2
795,I like laptop that is fast to boot and respond. ,2,3,2,1,2
796,I would like to buy a fast laptop with a great screen. ,2,3,2,1,2
797,I like cute and light laptop. ,4,3,5,4,6
798,I want a fast running laptop. ,4,3,5,4,6
799,I need a lightweight and well-designed laptop. ,4,3,5,4,6
800,I want to buy a good size laptop. ,4,3,5,4,6
801,I am looking for a lightweight laptop. ,4,3,5,4,6
802,"I want a light and small laptop with long battery life and dual band wifi. It should run cool and silent, have lots of ports for upgrading and a replaceable battery. ",4,3,5,4,6
803,"I want a laptop that is small and light with great battery life. I also hope it to have a solid, thin and sturdy frame with good hinge tilt, stable wireless AC, and a decent keyboard. ",4,3,5,4,6
804,I want a fast and smooth running laptop. ,4,3,1,3,1
805,I like the laptop that is easy to change disk. ,3,4,3,3,2
806,I am looking for a laptop with good battery. ,3,4,3,3,2
807,I like to buy a laptop with many features and a quiet backlit keyboard. ,3,4,3,3,2
808,"I want to buy a clean, fast and sturdy laptop. ",3,4,3,3,2
809,I need a laptop that runs nice. ,3,4,3,3,2
810,I need a overbuilt laptop that have a DVD drive. ,3,4,3,3,2
811,"I am looking for a light and good looking laptop that fingermarks don't stick that much on the matte finish of the lid. It should have a responsive and good size keyboard, fast to start, shut off and login, and a good battery life. ",4,3,2,1,3
812,I want a lightweight laptop. ,4,3,2,1,3
813,I want a lightweight laptop. ,4,3,2,1,3
814,I like a light and unbreakable laptop. ,4,3,2,1,3
815,"I want to buy a fast, solid and well made laptop. ",4,3,2,1,3
816,I love robust laptop. ,4,3,2,1,3
817,I need a lightweight and thin laptop that is easy to carry. ,4,3,2,1,3
818,"I am searching for a solid, light, thin laptop that works great. ",4,3,2,1,3
819,"I decide to buy a light, thin and powerful laptop. ",4,3,2,1,3
820,I will buy a easy to carry laptop with plenty of power. ,4,3,2,1,3
821,I want a light laptop that is easy to use and have quick response. ,4,3,2,1,3
822,I hope to have a laptop with good battery life. ,4,3,2,1,3
823,I wish for a lightweight laptop. ,4,3,2,1,3
824,I am looking for a laptop with good gaming performance. ,1,1,2,1,2
825,I want a laptop with a good cooling system. ,1,1,2,1,2
826,I need a laptop with great cooling. ,1,1,2,1,2
827,I like a laptop with good aesthetics and good RGB lights.,1,1,2,1,2
828,"I am searching for a fast laptop with amazing cooling, building quality and performance. ",1,1,2,1,2
829,I like a laptop that has good graphics. ,1,1,2,1,2
830,I want a good looking laptop that stays cool and has a great keyboard.,1,1,2,1,2
831,I need a laptop with great quality build and performance. ,1,1,2,1,2
832,I want to buy a fast laptop with a lot of power. ,1,1,2,1,2
833,I prefer to buy a laptop that start up quick and have a nice RGB keyboard. ,1,1,2,1,2
834,I want a sharp looking laptop that is in perfect size and have a good touch screen. ,3,3,5,4,3
835,I like the laptop is easy to set up and have a good touchscreen. ,3,3,5,4,3
836,I like the laptop is easy to set up and have a good touchscreen. ,3,3,5,4,3
837,I need a fast laptop that is easy to use. ,3,3,5,4,3
838,I would like to buy an easy to use laptop for my granddaughter.,3,3,5,4,3
839,I want to buy a fast laptop for my husband. ,3,3,5,4,3
840,I am looking for a laptop with good battery life. ,3,3,5,4,3
841,I decide to buy a laptop with a good touch screen. ,3,3,5,4,3
842,I will buy a easy to use laptop. ,3,3,5,4,3
843,I need a laptop with a good battery life. ,3,3,5,4,3
844,I would like to buy a perfect size laptop. ,3,3,5,4,3
845,"I want a light, small and solid laptop that is easy to use and have awesome battery life. ",3,3,5,4,3
846,"I need a good looking laptop with a good touch screen, a bright screen, and solid build quality. ",3,3,5,4,3
847,I like a lightweight laptop with a thin-edged touchscreen and good keyboard layout. ,4,3,3,3,4
848,"I want to buy a small, compact and lightweight laptop that would be useful for multitasking. ",4,3,3,3,4
849,I am searching for a pale gold colour laptop with a superb build quality. It should be fast in startup and responsive. ,4,3,3,3,4
850,I need a laptop that is easy to carry around and has a long battery life for use at school.,4,3,3,3,4
851,I will buy a fast and smooth laptop with good speakers. ,4,3,3,3,4
852,I want a light laptop. ,4,3,3,3,4
853,"I want to buy a laptop which is small, light and fast. ",4,3,3,3,4
854,I am looking for a small and powerful laptop. ,4,3,3,3,4
855,I prefer a portable and lightweight laptop with beautiful colour and awesome back lighting. ,4,3,3,3,4
856,I need a fast and easy to set up laptop with plenty of ram and storage. ,3,4,3,3,2
857,I want my laptop to have amazing touch screen feature and run great. ,3,4,3,3,2
858,I will buy a perfect size laptop that runs great. ,3,4,3,3,2
859,I want a decent laptop. ,3,4,3,3,2
860,I am looking for a laptop with a touchscreen. ,3,4,3,3,2
861,I need a fast laptop with a good keyboard. ,3,4,3,3,2
862,I want to buy a laptop with a sleek screen. ,3,4,3,3,2
863,I need a lightweight laptop. ,3,4,3,3,2
864,"I am looking for a fast, tiny and light laptop. ",1,3,3,3,4
865,"I need a light weight, fast, sleek looking and easy to use laptop.",1,3,3,3,4
866,I want a portable and light laptop that runs fast and quiet. ,1,3,3,3,4
867,I like a good sized laptop.,1,3,3,3,4
868,I need a laptop that runs smoothly and has plenty of storage space. It should perform well in 2-in-1 and have an amazing graphics card.,2,2,2,2,4
869,I want to buy a easy to use laptop. ,2,2,2,2,4
870,"I am looking for a laptop that is super fast, easy to use, with good battery life and great facial recognition.",2,2,2,2,4
871,"I want a fast, lightweight and portable laptop with a beautiful screen. It should have plenty of RAM and SSD and right size keyboard and screen. ",2,2,2,2,4
872,I need a zippy laptop with large hard disk drive and rams. It should also have a good touch screen and clear display. ,2,2,2,2,4
873,I like laptops with beautiful colours.,2,2,2,2,4
874,I want a light and soft-touch laptop. ,4,3,3,4,3
875,"I am looking for a light weight, ultraportable laptop that is aesthetically pleasing. It should have good keyboard and touchpad, good array of ports and impressive battery life. ",4,3,3,4,3
876,"I want to buy a ultra portable, light weight and powerful laptop with amazing battery life and a great fingerprint reader. ",4,3,3,4,3
877,I need a light and portable laptop. ,4,3,3,4,3
878,I like a lightweight laptop with fast processing. ,4,3,3,4,3
879,"I want a light, powerful and simple laptop with a decent keyboard. ",4,3,3,4,3
880,"I need a light laptop with an amazing keyboard and a large, usable screen. ",4,3,3,4,3
881,I like a good built laptop. ,4,3,1,3,2
882,"I want to buy a laptop with an innovative wavy design, excellent speakers and solid battery life. ",4,3,1,3,2
883,I need a fast and powerful laptop with good sound quality. ,4,3,1,3,2
884,I like a laptop that has beautiful hardware. ,4,3,2,1,3
885,"I want a light weight and fast laptop which has a fantastic battery performance, a matte screen and a good keyboard. ",4,3,2,1,3
886,I am looking for a lightweight and portable laptop that runs fast and have a good keyboard and a big screen. I also want it to have long lasting battery and good face ID features. ,4,3,2,1,3
887,I need a solid and light laptop with fantastic battery life and a good IR camera for face sign in. It should have good mouse buttons and keyboard design. ,4,3,2,1,3
888,I would like to buy a solid and lightweight laptop with good keyboard and display. ,4,3,2,1,3
889,"I want to get a fast, light and portable laptop. ",4,3,2,1,3
890,I need a fast and light laptop. ,4,3,2,1,3
891,"I want a light, powerful and simple laptop with a decent keyboard. ",4,3,2,1,3
892,I love a light and sexy laptop. ,4,3,2,1,3
893,"I like small, light weight, rugged laptops that have mil spec rated spill proof keyboard, have many high end features and have built in GPS. ",4,3,2,1,3
894,I need a laptop that is easy to set up.,4,3,1,4,2
895,I want to buy a laptop that works fast. ,4,3,1,4,2
896,I like the sleek appearance of laptop and it should be easy to set up. ,4,3,1,4,2
897,I want a fast laptop with sleek design. ,4,3,1,4,2
898,I want to buy a laptop that powered up quickly. ,4,3,1,4,2
899,I need a lightweight laptop. ,4,3,1,4,2
900,I am looking fo a lightweight laptop that is easy to set up. ,4,3,1,4,2
901,"I want a lightweight and portable laptop with fast facial recognition. It should have an amazing touchscreen, a beautiful keyboard layout and material and a responisve track pad. ",0,3,3,1,4
902,"I like the a sleek carbon fiber laptop that it is light, has tiny bezels, good speaker, highest screen brightness and battery life. ",0,3,3,1,4
903,"I want a lightweight laptop with great build quality and powerful specs. It should have an amazing, responsive touchscreen, good speakers and a backlit keyboard, fast fingerprint sensor and the touchpad should allow multiple gestures. ",0,3,3,1,4
904,"I am looking for a light, small, thin laptop for studying that is easy to carry and the perfect size.",0,3,3,1,4
905,"I need a small, lightweight and thin laptop. ",0,3,3,1,4
906,"I want a small, light laptop that is powerful and fast, and will not get hot. ",0,3,3,1,4
907,I will buy a sleek and lightweight laptop with a phenomenal display. ,0,3,3,1,4
908,I need to buy a lightweight and good size laptop with thin bezels and hgih resolution. ,0,3,3,1,4
909,"I would like to buy a light, fast laptop that operates smoothly. ",0,3,3,1,4
910,I want to buy a fast laptop with good battery life. ,0,3,3,1,4
911,I need a laptop that has an amazing screen and works great. ,0,3,3,1,4
912,"I am searching for a lightweight, fast, responsive laptop with an incredible display. ",0,3,3,1,4
913,I prefer a fast and light laptop with elegant design. ,0,3,3,1,4
914,I decide to buy a light and fast laptop with great built quality. ,0,3,3,1,4
915,I want to buy a laptop that runs well and has a high quality webcam. ,0,3,3,1,4
916,"I want a small, light weight, easy to lug around laptop that runs fast, has a bright, vivid display and responsive, quick keyboard and mousepad. ",0,3,3,1,4
917,"I like a laptop that stays cool, quiet and stable and have good battery life. ",0,3,3,1,4
918,I need a handy and powerful laptop with long battery life for work. ,0,3,3,1,4
919,I want a lightweight laptop with excellent performance. ,3,3,2,1,2
920,"I need a light, fast and reliable laptop with a fantastic screen. ",3,3,2,1,2
921,I like a laptop with excellent weight to size ratio. ,3,3,2,1,2
922,I am looking for a lightweight laptop with sharp picture and vibrant colours. ,3,3,2,1,2
923,I want to buy a lightweight and efficient laptop with great speeds. It should look slick. ,3,3,2,1,2
924,"I want a laptop that is easy to configure, works well and fast. ",3,3,2,1,2
925,I prefer a fast laptop with easy setup and a crispy screen. ,3,3,2,1,2
926,I want a laptop with good battery life. ,4,3,5,4,6
927,I need a laptop that is the right size for kids.,4,3,5,4,6
928,I am looking for a lightweight portable device that runs off Verizon and does not depend on availability of Wifi. It should be rugged and study.  ,4,3,5,4,6
929,I want a efficient laptop. ,4,3,5,4,6
930,I will buy a laptop that is fast and easy to navigate. ,4,3,5,4,6
931,I like a laptop with a good S mode and a stylus pen for writing notes with complete precision.,4,3,5,4,6
932,"I like a laptop with an amazing screen, good battery life, loud and clear speaker. It should have fast and convenient fingerprint reader and a good touch screen. ",1,3,3,3,4
933,"I am looking for a light, fast, easy to read laptop. ",1,3,3,3,4
934,"I want a powerful, lightweight, fast, slim laptop, which has a sturdy keyboard with a smooth touchpad, a vivid screen, loud speakers and multiple ports. ",3,3,3,3,4
935,"I like a lightweight, portable, fast laptop with a beautiful screen and good keyboard layout. ",3,3,3,3,4
936,I need a small and lightweight laptop that is easy to set up. ,3,3,3,3,4
937,"I wanted a lightweight laptop, made of good materials, with an immersive screen and good sound.",3,3,3,3,4
938,"I need a laptop with good battery life, a good touch screen and good build quality.",1,3,2,1,2
939,"I want a 2-in-1 laptop with good screen and keyboard, multiple ports and good LG utilites. ",1,3,2,1,2
940,I want a light laptop with a silky keyboard. ,1,3,2,1,2
941,I will buy a laptop with a good touch screen. ,1,3,2,1,2
942,I need a light laptop. ,1,3,2,1,2
943,I am looking for a light laptop with good battery life and an excellent screen. ,1,3,2,1,2
944,I like a laptop with good touch screen and the 2-in-1 capability. It should have a largish touchpad and a good keyboard. ,1,3,2,1,2
945,I love laptop with good battery life. ,1,3,2,1,2
946,I want a laptop with a good screen and an easy to use touch screen.,1,3,2,1,2
947,I need a light weight laptop with a long battery life. I also want it to have a large screen and a numeric keypad.,1,3,2,1,2
948,I want a solid laptop. ,1,0,1,0,2
949,I need a portable laptop with responsive GPUs and gorgeous graphics. ,1,0,1,0,2
950,I prefer a laptop with a good keyboard and great graphics.,1,0,1,0,2
951,I am looking for a laptop with good thermals. ,1,0,1,0,2
952,"I want to buy a durable, reliable laptop. ",1,0,1,0,2
953,I need a laptop that looks great and works flawlessly. ,1,0,1,0,2
954,I like a big screen laptop with adaptable track pad and good separate number keypad. ,1,3,1,1,1
955,"I want a fast laptop with great screen resolution, picture and sound. It should be good designed, have plenty of ports and a nice placement of power button. ",1,3,1,1,1
956,I need a laptop with a good processor. ,1,3,1,1,1
957,I will buy a laptop that works great and looks great. ,1,3,1,1,1
958,"I am looking for a laptop with a fast processor, good RAM memory and a nice SSD. ",1,3,1,1,1
959,"I need a fast and well built laptop with an elegant design. It should have a good processor, quiet fan operation, great cool keeping capacity and be expandable. ",1,3,1,1,1
960,"I decide to buy a laptop that is a solid, well-built device with speed, great display, and a good keyboard.",1,3,1,1,1
961,I will buy a fast laptop with a easy-to-read screen. ,1,3,1,1,1
962,I am searching for a light weight laptop with a good keyboard. ,1,3,1,1,1
963,I want to get a light weight laptop with great start up speed. ,1,3,1,1,1
964,I prefer to buy a laptop with good speed and screen. ,1,3,1,1,1
965,I wish for a fast laptop with a nice feel keyboard and a bright screen. ,1,3,1,1,1
966,I hope to have a laptop with a right size screen. ,1,3,1,1,1
967,I need a fast and durable laptop for work. ,1,3,1,1,1
968,I would like to get a laptop with a bright and sharp screen. It should run in amazing speed and have a good keyboard light. ,1,3,1,1,1
969,I am looking for a quiet and fast laptop with a awesome screen. ,1,0,2,1,2
970,I need a laptop with good colours for graphic design.,1,0,2,1,2
971,"I want a get a laptop with a bright and vibrant screen, a responsive backlit keyboard with a number pad, and a good fingerprint reader. The trackpad should be large, responsive and feel great. It should also have a decent webcam with a privacy shutter and good battery life. ",1,0,2,1,2
972,"I want to buy a laptop that is light to carry, have a beautiful screen and good battery life. ",1,0,2,1,2
973,I prefer a laptop with a great CPU. ,1,0,2,1,2
974,I need a laptop with good materials quality. ,1,0,2,1,2
975,I decide to buy a laptop with a good screen and fingerprint sensor. ,1,0,2,1,2
